127.0.0.1 - - [21/Jun/2021:10:30:39 +0100] "GET / HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:42 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:43 +0100] "GET /jeecrudapp/js/jquery.js;jsessionid=207C14662A9D746F4A8D4662577107F1 HTTP/1.1" 200 298500
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:43 +0100] "GET /jeecrudapp/js/bootstrap.js;jsessionid=207C14662A9D746F4A8D4662577107F1 HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:43 +0100] "GET /jeecrudapp/css/bootstrap.css;jsessionid=207C14662A9D746F4A8D4662577107F1 HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:43 +0100] "GET /favicon.ico HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:50 +0100] "GET /jeecrudapp/employees/list;jsessionid=207C14662A9D746F4A8D4662577107F1 HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:50 +0100] "GET /jeecrudapp/js/bootstrap.js HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:50 +0100] "GET /jeecrudapp/js/jquery.js HTTP/1.1" 200 298500
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:50 +0100] "GET /jeecrudapp/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:30:59 +0100] "GET /jeecrudapp/employees/edit?id=101 HTTP/1.1" 200 3887
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:31:06 +0100] "GET /jeecrudapp/employees/list HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:31:08 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:31:10 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:37:06 +0100] "GET /jeecrudapp/employees/list HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:37:19 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:37:20 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:40:40 +0100] "GET /jeecrudapp/employees/list HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:40:44 +0100] "GET /jeecrudapp/employees/add HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:40:54 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:40:55 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:48:52 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:48:54 +0100] "GET /jeecrudapp/employees/list HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:49:04 +0100] "GET /jeecrudapp/employees/add HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:49:10 +0100] "GET /jeecrudapp/employees/list HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:49:12 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:49:19 +0100] "GET /jeecrudapp/employees/list HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [21/Jun/2021:10:49:20 +0100] "GET /jeecrudapp/ HTTP/1.1" 200 2543
